grainID,grainType,quantity,price,supplierName,reorderLevel,DateofOrder,batchNumber,warehouse
1025,Sorghum,1417,2.84,"XYZ Grains Co.",353,05-02-2025,MFS2,"Warehouse C"
1565,Oats,107,1.97,"Grains World",265,13-02-2025,OUWA,"Warehouse B"
1052,Corn,401,2.8,"Grain Masters",385,15-02-2025,9UM4,"Warehouse A"
1513,Millet,803,0.82,"Healthy Grains",383,09-02-2025,0W1F,"Warehouse A"
1671,Barley,270,1.99,"Old Mill",344,29-01-2025,99VY,"Warehouse C"
1145,Barley,1344,1.65,"Grains World",137,19-02-2025,MQ5L,"Warehouse B"
1208,Rye,270,1.6,"Healthy Grains",359,30-01-2025,I03P,"Warehouse A"
1079,Sorghum,276,1.62,"ABC Farms",465,18-02-2025,4TO2,"Warehouse B"
1325,Wheat,1471,2.93,"Old Mill",156,12-02-2025,HLNK,"Warehouse A"
1829,Buckwheat,1139,0.89,"XYZ Grains Co.",219,24-01-2025,7AIH,"Warehouse A"
1399,Oats,1200,1.14,"Grain Masters",439,08-02-2025,29YY,"Warehouse C"
1901,Quinoa,1226,0.89,"ABC Farms",380,14-02-2025,DH35,"Warehouse C"
1012,Wheat,1058,0.54,"Healthy Grains",173,06-02-2025,IJ6E,"Warehouse C"
1498,Quinoa,273,2.53,"Grains World",116,27-01-2025,Z7EC,"Warehouse C"
1409,Quinoa,808,1.33,"Healthy Grains",472,30-01-2025,29FK,"Warehouse A"
1140,Quinoa,620,2.27,"Grains World",430,04-02-2025,TGBB,"Warehouse A"
1334,Wheat,680,2.14,"Grain Masters",327,22-01-2025,EORF,"Warehouse B"
1789,Millet,310,1.13,"XYZ Grains Co.",321,13-02-2025,G3D9,"Warehouse C"
1542,Rice,1495,1.37,"Grains World",167,11-02-2025,QZNI,"Warehouse B"
1881,Corn,888,1.42,"XYZ Grains Co.",123,05-02-2025,U98H,"Warehouse A"
1142,Millet,516,1.41,"Grain Masters",442,18-02-2025,C8QL,"Warehouse B"
1687,Quinoa,219,1.77,"Grain Masters",462,26-01-2025,P0ZA,"Warehouse A"
1539,Millet,764,0.59,"Old Mill",263,07-02-2025,JKGQ,"Warehouse A"
1961,Oats,445,0.61,"XYZ Grains Co.",307,15-02-2025,G9I6,"Warehouse C"
1261,Wheat,1147,1.66,"Healthy Grains",324,30-01-2025,CG4T,"Warehouse B"
1910,Quinoa,547,2.77,"Grain Masters",338,31-01-2025,93HF,"Warehouse B"
1889,Wheat,1157,2.86,"Healthy Grains",245,23-01-2025,5748,"Warehouse A"
1542,Oats,830,2.96,"Old Mill",278,26-01-2025,C02C,"Warehouse C"
1835,Millet,1266,1.44,"ABC Farms",444,25-01-2025,DK4I,"Warehouse B"
1803,Wheat,1174,1.29,"Grains World",102,06-02-2025,W11E,"Warehouse A"
1780,Buckwheat,148,2.18,"ABC Farms",165,22-01-2025,W36H,"Warehouse C"
1288,Buckwheat,469,0.61,"XYZ Grains Co.",147,03-02-2025,NJTX,"Warehouse B"
1751,Sorghum,1197,0.82,"Grains World",378,11-02-2025,AHFJ,"Warehouse A"
1129,Oats,387,0.9,"Grains World",155,15-02-2025,AE6D,"Warehouse C"
1642,Sorghum,1225,2.67,"ABC Farms",178,24-01-2025,J4CN,"Warehouse B"
1609,Rye,898,1.65,"ABC Farms",167,20-02-2025,3T5Y,"Warehouse A"
1543,Rice,863,1.1,"Old Mill",403,29-01-2025,J84E,"Warehouse A"
1014,Oats,512,0.51,"Old Mill",338,29-01-2025,MS07,"Warehouse B"
1693,Sorghum,667,2.36,"Grains World",295,05-02-2025,37VM,"Warehouse B"
1316,Wheat,1254,2.62,"Grains World",349,21-01-2025,WCVJ,"Warehouse A"
1439,Corn,424,1.48,"Grains World",380,17-02-2025,4DYG,"Warehouse A"
1652,Corn,1090,1.85,"Grain Masters",412,06-02-2025,B7G5,"Warehouse A"
1651,Wheat,585,2.15,"ABC Farms",288,13-02-2025,W7C7,"Warehouse B"
1769,Rye,872,1.19,"Old Mill",475,21-01-2025,J5ZJ,"Warehouse B"
